,pressure [MPa],mass_flux [kg/m2-s],x_e_out [-],D_e [mm],D_h [mm],length [mm],chf_exp [MW/m2]
25240,6.92,1519.0,0.0818,12.7,42.3,1778.0,2.8
25241,6.86,4056.0,0.0685,10.8,10.8,1727.0,1.8
25242,0.51,5750.0,0.0077,1.0,1.0,25.0,7.5
25243,6.89,3635.0,0.0518,5.6,14.21544580709314,830.5649623727313,3.6
25244,13.79,1668.0,-0.1272,7.7,7.7,457.0,2.7
25245,8.27,1355.0,0.1869,5.6,15.2,830.5649623727313,2.8
25246,6.89,1519.0,0.1784,8.589305208096429,24.6,1778.0,3.2
25247,17.24,3070.4877791356516,-0.1141,1.9,1.9,152.0,4.8
25248,8.27,1519.0,0.0032,8.589305208096429,42.3,1778.0,2.0
25249,13.79,1343.0,0.0948,7.7,7.7,457.0,1.8
25251,8.27,2731.0,0.0332,5.6,14.21544580709314,2134.0,2.7
25252,13.79,4096.0,0.0372,8.589305208096429,7.8,591.0,2.4
25254,13.79,3070.4877791356516,0.0404,9.5,9.5,830.5649623727313,3.9
25255,3.76,2631.0,0.1294,4.6,4.6,229.0,4.4
25256,13.79,2726.0,0.1195,8.589305208096429,9.5,830.5649623727313,1.6
25258,6.89,3070.4877791356516,-0.0298,8.0,8.0,610.0,5.1
25259,13.79,1682.0,-0.1125,7.7,14.21544580709314,457.0,6.8
25261,15.51,3743.0,0.0523,1.9,1.9,696.0,2.2
25262,6.89,2807.0,0.0275,6.4,14.21544580709314,830.5649623727313,2.9
25263,11.03,4069.0,0.0498,11.5,11.5,1524.0,2.4
25264,10.34,5967.0,-0.0483,10.3,14.21544580709314,762.0,5.5
25267,6.89,7717.0,0.1423,10.3,10.3,762.0,1.7
25268,13.79,3811.0,0.0257,4.6,4.6,295.0,2.9
25269,10.635065510058652,3323.0,0.1178,5.6,14.21544580709314,216.0,3.4
25270,6.89,2292.0,0.186,8.5,22.3,1829.0,2.7
25271,9.72,3070.4877791356516,-0.0007,6.4,14.21544580709314,914.0,9.0
25273,6.89,5479.0,0.1131,23.6,23.6,1972.0,1.8
25274,13.79,3070.4877791356516,-0.0103,8.589305208096429,11.1,457.0,2.3
25275,10.34,6049.0,-0.1218,10.3,10.3,762.0,6.2
25276,8.27,2717.0,0.0446,5.0,13.3,830.5649623727313,3.1
25277,6.89,2292.0,0.0406,12.7,42.3,1778.0,4.3
25279,6.89,5601.0,0.0051,10.3,10.3,762.0,3.9
25282,13.79,5249.0,-0.0431,5.7,5.7,625.0,5.4
25283,13.79,1383.0,0.0629,7.8,7.8,591.0,2.4
25284,15.51,3662.0,-0.0515,1.9,1.9,830.5649623727313,2.8
25285,15.51,3701.0,0.0043,1.9,1.9,152.0,4.0
25286,11.03,2717.0,0.0537,5.6,15.2,830.5649623727313,1.2
25287,12.0,2439.0,-0.0472,10.0,14.21544580709314,1650.0,2.7
25290,6.89,3070.4877791356516,-0.0025,10.3,10.3,762.0,4.6
25291,6.89,7866.0,-0.1209,10.3,10.3,762.0,3.8
25292,13.79,852.0,-0.1258,3.6,3.6,76.0,2.6
25293,11.03,1345.0,0.1867,5.6,15.2,2134.0,1.3
25295,6.89,2726.0,-0.0757,37.5,37.5,1953.0,4.6
25296,18.27,857.0,-0.1208,3.0,3.0,35.0,2.6
25298,6.89,5533.0,-0.0378,10.3,10.3,794.0,7.9
25300,6.72,4001.0,0.0809,10.8,10.8,432.0,4.2
25301,13.79,2563.0,0.0222,7.7,7.7,457.0,2.5
25302,12.0,4001.0,0.0103,8.589305208096429,10.0,400.0,5.2
25305,11.03,3730.0,0.0027,8.589305208096429,15.2,2134.0,1.2
25306,13.79,2679.0,0.1533,9.5,14.21544580709314,1836.0,1.9
25307,6.89,3784.0,-0.0195,23.6,23.6,1972.0,4.9
25309,13.79,734.0,0.0983,7.8,14.21544580709314,591.0,2.3
25311,10.34,3070.4877791356516,-0.0997,10.3,10.3,762.0,6.4
25315,13.79,1193.0,-0.0298,7.8,14.21544580709314,591.0,12.7
25316,15.51,3701.0,0.0249,8.589305208096429,15.2,2134.0,1.1
25317,10.635065510058652,7690.0,-0.0264,10.3,10.3,794.0,11.3
25318,13.79,3070.4877791356516,0.1077,4.7,4.7,318.0,2.6
25320,6.89,5411.0,-0.0457,23.6,23.6,1972.0,5.9
25321,6.92,3092.0,0.057,8.5,24.6,830.5649623727313,1.1
25322,13.79,2729.0,0.0627,5.6,15.2,830.5649623727313,1.9
25325,10.34,3716.0,-0.0298,10.3,10.3,762.0,3.9
25327,6.89,7893.0,-0.0277,10.3,10.3,794.0,8.8
25328,6.89,3070.4877791356516,0.0523,8.589305208096429,38.1,737.0,3.5
25329,13.79,2730.0,-0.0735,8.589305208096429,1.9,152.0,3.0
25330,6.83,4062.0,0.1533,10.8,10.8,1727.0,2.3
25331,6.89,6049.0,0.0091,10.3,10.3,762.0,4.4
25332,10.635065510058652,3070.4877791356516,-0.0135,5.6,15.2,830.5649623727313,3.8
25334,3.83,3070.4877791356516,0.0449,5.6,5.6,830.5649623727313,7.3
25337,13.79,686.0,-0.1356,11.1,14.21544580709314,457.0,2.1
25338,13.79,7107.0,-0.1141,4.7,4.7,318.0,3.5
25339,6.89,2740.0,-0.0593,1.9,1.9,152.0,3.5
25340,13.79,1492.0,0.0863,7.8,7.8,591.0,2.0
25341,6.89,5425.0,0.0129,8.589305208096429,14.21544580709314,1930.0,2.5
25342,6.89,666.0,0.0971,23.7,14.21544580709314,610.0,5.4
25343,12.07,3201.0,-0.0468,8.589305208096429,1.9,152.0,2.2
25344,13.79,1736.0,0.0731,8.589305208096429,7.8,830.5649623727313,2.5
25345,13.79,4977.0,0.0863,4.6,4.6,295.0,1.9
25346,13.79,705.0,-0.1702,7.7,7.7,830.5649623727313,6.5
25347,10.0,4028.0,-0.0297,10.0,10.0,830.5649623727313,5.2
25349,13.79,2428.0,0.1694,4.6,4.6,295.0,1.4
25350,0.2,1000.0,-0.0297,15.0,120.0,10.0,4.4
25351,12.0,1370.0,-0.0465,10.0,10.0,1000.0,4.5
25353,6.89,2292.0,0.0197,12.7,42.3,2743.0,2.5
25354,13.79,2306.0,0.1131,7.8,7.8,591.0,2.0
25355,13.79,1994.0,-0.0638,7.7,7.7,830.5649623727313,3.0
25356,13.79,2061.0,0.0141,7.8,7.8,830.5649623727313,2.4
25357,6.89,6618.0,-0.0522,10.3,10.3,794.0,5.8
25358,9.71,5601.0,0.0344,6.4,15.9,914.0,2.7
25359,15.51,1355.0,0.1715,5.6,15.2,2134.0,2.3
25360,6.89,6049.0,-0.0698,8.589305208096429,10.3,830.5649623727313,6.6
25361,13.79,4679.0,-0.0349,4.7,4.7,318.0,3.0
25362,6.89,7405.0,-0.0306,23.6,14.21544580709314,1972.0,3.9
25363,10.34,3070.4877791356516,-0.0263,10.3,10.3,830.5649623727313,3.6
25364,10.635065510058652,833.0,0.1274,12.7,38.1,737.0,2.2
25365,13.79,888.0,0.08,7.8,7.8,591.0,2.3
25366,10.635065510058652,4059.0,0.097,9.5,9.5,1836.0,2.6
25367,9.65,5600.0,-0.0466,6.4,15.9,830.5649623727313,4.3
25369,6.89,5696.0,0.0491,10.3,10.3,794.0,2.4
25372,20.68,1492.0,-0.1224,8.589305208096429,3.6,76.0,2.2
25373,18.0,1221.0,0.1228,10.0,10.0,1650.0,2.4
25376,10.635065510058652,3070.4877791356516,0.0069,10.8,10.8,432.0,4.9
25378,6.89,3825.0,0.0101,23.6,23.6,610.0,3.6
25379,13.79,1345.0,0.0109,5.6,15.2,2134.0,3.3
25381,13.79,3070.4877791356516,-0.022,1.9,1.9,152.0,4.3
25382,10.38,1383.0,0.0873,4.6,4.6,229.0,3.5
25383,6.89,3825.0,0.0802,23.6,23.6,1972.0,2.6
25386,13.79,3472.0,0.0588,8.589305208096429,9.5,1836.0,2.4
25387,8.27,2699.0,0.0177,9.5,9.5,1836.0,2.1
25389,17.24,3070.4877791356516,-0.0514,1.9,1.9,830.5649623727313,4.6
25391,6.83,4096.0,0.0102,10.8,10.8,864.0,4.0
25392,7.03,4055.0,0.1006,10.8,10.8,864.0,2.5
25393,6.96,1519.0,0.1863,8.5,22.3,1829.0,2.1
25394,10.34,4842.0,-0.0547,10.3,10.3,762.0,3.0
25395,15.51,2929.0,0.0001,1.9,1.9,152.0,4.7
25397,10.635065510058652,2731.0,0.1323,5.6,15.2,2134.0,1.3
25398,16.0,750.0,-0.0323,10.0,10.0,520.0,4.1
25400,13.79,2034.0,0.0226,7.7,7.7,457.0,2.3
25401,11.1,4069.0,0.0049,9.3,9.3,762.0,3.3
25402,10.635065510058652,2984.0,-0.0545,8.589305208096429,1.9,830.5649623727313,5.7
25403,6.89,385.0,0.1989,22.2,96.3,1778.0,2.1
25404,13.79,888.0,0.1008,7.8,7.8,591.0,1.2
25406,3.96,4069.0,0.0302,5.6,5.6,216.0,5.3
25407,6.89,1356.0,0.118,8.589305208096429,37.5,1953.0,2.3
25408,6.89,3070.4877791356516,0.0008,8.0,14.21544580709314,610.0,4.8
25410,9.61,5655.0,0.0329,6.4,14.21544580709314,830.5649623727313,3.0
25411,13.79,1682.0,-0.0297,7.7,7.7,457.0,4.9
25412,13.79,666.0,0.0484,11.1,11.1,457.0,2.9
25414,6.89,3070.4877791356516,-0.0404,12.8,12.8,1930.0,6.7
25416,12.07,4109.0,-0.0045,1.9,1.9,830.5649623727313,4.3
25417,6.89,4584.0,0.0376,4.7,4.7,318.0,4.4
25419,6.83,3513.0,0.0028,10.8,10.8,432.0,4.6
25420,13.79,4774.0,-0.1377,8.589305208096429,4.7,152.0,5.0
25421,18.27,1275.0,-0.1046,3.0,3.0,150.0,1.4
25422,13.79,1858.0,0.0948,7.7,7.7,457.0,1.8
25423,10.635065510058652,1000.0,-0.12,15.0,120.0,10.0,6.2
25424,10.635065510058652,7391.0,-0.2001,8.589305208096429,4.7,318.0,5.1
25425,13.79,1926.0,-0.1356,11.1,11.1,830.5649623727313,3.7
25428,13.79,3070.4877791356516,-0.0846,7.7,7.7,830.5649623727313,3.8
25430,18.27,833.0,-0.1209,3.0,3.0,150.0,6.2
25431,13.79,1078.0,-0.0593,4.7,4.7,830.5649623727313,2.2
25432,6.89,4069.0,-0.0497,37.5,14.21544580709314,1953.0,5.6
25433,13.79,2645.0,0.0484,7.7,7.7,830.5649623727313,2.3
25434,18.96,3070.4877791356516,-0.1943,1.9,1.9,152.0,1.8
25436,13.79,3070.4877791356516,-0.0833,4.7,4.7,318.0,4.4
25437,11.03,2034.0,0.0666,9.3,9.3,305.0,3.9
25438,0.39,3757.0,0.0102,1.0,1.0,38.0,7.2
25440,2.63,2767.0,-0.1224,3.0,3.0,150.0,4.5
25441,13.79,7012.0,-0.1076,4.7,4.7,318.0,7.0
25442,15.51,2929.0,-0.0515,1.9,1.9,152.0,4.7
25444,10.635065510058652,1358.0,0.0643,5.6,15.2,2134.0,3.9
25446,10.635065510058652,1166.0,0.1671,12.7,42.3,2743.0,2.7
25448,13.79,542.0,-0.0568,4.7,4.7,830.5649623727313,1.9
25449,13.79,677.0,0.0351,7.8,7.8,591.0,2.6
25450,10.34,3070.4877791356516,-0.1171,10.3,10.3,762.0,5.0
25451,6.86,1899.0,0.0907,10.8,14.21544580709314,432.0,3.9
25454,6.89,3070.4877791356516,0.1004,12.7,42.3,830.5649623727313,2.2
25461,10.34,7893.0,-0.1684,10.3,10.3,762.0,3.2
25463,17.24,2089.0,-0.0874,1.9,1.9,696.0,2.1
25464,13.79,956.0,0.0111,7.7,7.7,457.0,2.1
25465,13.79,5588.0,-0.0398,4.7,4.7,318.0,4.7
25466,6.89,3065.0,0.1499,8.5,24.6,1778.0,2.0
25468,13.79,3997.0,-0.0122,9.5,14.21544580709314,1836.0,4.1
25471,13.79,1356.0,0.1244,5.0,13.3,2134.0,1.1
25472,3.45,3797.0,-0.0258,1.9,14.21544580709314,152.0,4.8
25473,10.635065510058652,5357.0,-0.2001,8.589305208096429,4.7,318.0,7.7
25474,10.34,7893.0,-0.1227,10.3,10.3,762.0,6.0
25476,13.79,3784.0,0.0674,4.7,14.21544580709314,830.5649623727313,2.6
25477,13.79,2034.0,0.1597,11.1,11.1,457.0,1.4
25478,10.635065510058652,3838.0,-0.0203,1.9,1.9,152.0,4.4
25479,15.51,2102.0,-0.1046,8.589305208096429,1.9,696.0,2.2
25480,6.93,3070.4877791356516,-0.0875,10.8,14.21544580709314,216.0,4.8
25481,9.65,5655.0,0.0329,8.589305208096429,15.9,914.0,2.2
25484,13.79,1356.0,-0.1965,8.589305208096429,7.7,152.0,3.6
25486,10.635065510058652,3070.4877791356516,0.1215,8.5,14.21544580709314,2591.0,2.2
25488,6.89,5561.0,0.0441,6.4,15.9,914.0,2.6
25489,13.79,3070.4877791356516,-0.0744,11.1,11.1,457.0,2.3
25491,15.17,2773.0,0.0515,9.5,9.5,1836.0,2.3
25492,6.93,1709.0,0.0619,10.8,10.8,830.5649623727313,4.2
25493,13.79,2658.0,0.0936,7.7,7.7,457.0,2.6
25494,3.86,4069.0,0.0113,10.8,10.8,432.0,5.6
25495,10.635065510058652,3070.4877791356516,0.172,8.5,22.3,1829.0,3.1
25498,6.89,6551.0,0.0077,10.3,10.3,794.0,3.5
25500,15.51,3070.4877791356516,-0.0878,1.9,14.21544580709314,696.0,3.8
25502,6.89,1519.0,0.1537,8.5,22.3,2591.0,2.0
25504,13.79,1872.0,-0.1674,4.7,4.7,830.5649623727313,3.6
25505,17.24,2848.0,-0.0821,1.9,1.9,830.5649623727313,3.8
25506,7.0,3770.0,-0.0595,8.589305208096429,10.8,864.0,5.8
25507,17.24,3070.4877791356516,-0.0536,8.589305208096429,14.21544580709314,696.0,3.3
25508,9.68,2292.0,0.1167,12.7,42.3,1778.0,2.1
25509,13.79,3070.4877791356516,0.1601,5.7,5.7,830.5649623727313,2.3
25510,15.51,2875.0,-0.0252,1.9,1.9,152.0,3.8
25511,11.03,3637.0,-0.0638,13.3,14.21544580709314,2134.0,3.2
25512,13.79,3070.4877791356516,-0.059,8.589305208096429,1.9,152.0,4.5
25513,0.2,1492.0,-0.0193,15.0,120.0,830.5649623727313,3.9
25514,3.45,5588.0,0.0049,10.3,10.3,830.5649623727313,4.2
25515,6.89,3580.0,0.1798,5.6,14.21544580709314,432.0,3.4
25516,6.86,4055.0,0.0107,10.8,14.21544580709314,864.0,3.7
25517,10.34,3716.0,0.0351,10.3,10.3,762.0,2.9
25518,8.27,4071.0,0.0142,9.5,9.5,1836.0,2.8
25520,6.89,1519.0,0.1406,8.5,24.6,1778.0,2.2
25522,6.9,3070.4877791356516,0.0886,8.589305208096429,38.1,737.0,2.6
25523,6.89,5357.0,0.0254,23.6,14.21544580709314,610.0,2.3
25524,12.07,2767.0,-0.0809,1.9,1.9,152.0,3.4
25525,10.635065510058652,2034.0,-0.1171,10.3,10.3,914.0,4.5
25526,6.72,5655.0,0.0145,6.4,15.9,830.5649623727313,2.7
25527,13.79,1339.0,0.1512,9.5,9.5,830.5649623727313,1.8
25528,13.79,1410.0,-0.0154,9.5,9.5,1836.0,4.0
25529,13.79,1967.0,-0.0111,8.589305208096429,7.7,830.5649623727313,3.9
25531,13.79,4036.0,0.0595,9.5,9.5,1836.0,1.4
25533,17.24,3070.4877791356516,-0.1317,1.9,1.9,152.0,4.5
25534,13.79,1953.0,-0.0109,11.1,11.1,457.0,2.8
25535,10.635065510058652,3070.4877791356516,-0.0373,15.0,120.0,10.0,3.9
25536,6.89,4056.0,0.0005,10.8,14.21544580709314,3048.0,4.4
25540,13.79,1668.0,-0.0202,7.7,7.7,830.5649623727313,3.3
25543,6.89,3757.0,-0.0274,8.589305208096429,10.3,762.0,2.2
25545,13.79,7636.0,-0.2488,3.6,3.6,76.0,3.8
25546,11.03,3070.4877791356516,-0.0233,5.0,13.3,830.5649623727313,2.2
25549,13.79,705.0,0.0818,7.7,7.7,457.0,1.9
25550,13.79,1383.0,-0.001,7.8,7.8,591.0,5.5
25551,6.93,3070.4877791356516,0.1695,8.589305208096429,9.3,1727.0,2.6
25552,15.17,2679.0,0.0588,8.589305208096429,9.5,1836.0,1.8
25553,5.51,1519.0,0.0233,12.7,14.21544580709314,830.5649623727313,2.8
25554,13.79,2061.0,-0.1381,4.7,4.7,318.0,7.1
25557,6.89,2306.0,0.0942,4.6,11.3,1778.0,2.2
25560,11.03,2712.0,0.1198,11.5,11.5,1524.0,2.4
25561,10.0,3070.4877791356516,-0.0297,10.0,14.21544580709314,1000.0,7.7
25563,17.24,2089.0,-0.1141,8.589305208096429,1.9,696.0,2.2
25565,6.89,2265.0,0.1212,8.5,22.3,2743.0,2.1
25566,4.16,2278.0,0.0384,12.7,42.3,1778.0,6.4
25567,10.635065510058652,2848.0,-0.0415,8.589305208096429,1.9,830.5649623727313,3.2
25568,10.34,7880.0,-0.1403,10.3,14.21544580709314,762.0,7.8
25571,0.1,2000.0,-0.0431,8.589305208096429,120.0,10.0,4.4
25573,13.79,2984.0,-0.0137,8.589305208096429,14.21544580709314,152.0,4.8
25574,10.34,2821.0,-0.1218,10.3,10.3,830.5649623727313,2.3
25575,10.635065510058652,3070.4877791356516,-0.0202,1.9,1.9,152.0,3.4
25576,10.635065510058652,3070.4877791356516,0.0538,8.589305208096429,14.21544580709314,1836.0,2.4
25579,18.96,3784.0,-0.0416,8.589305208096429,1.9,696.0,3.1
25581,13.79,949.0,-0.0309,7.8,7.8,591.0,4.9
25582,8.27,1519.0,0.0091,8.5,24.6,1778.0,3.2
25585,13.79,2143.0,0.0329,7.8,14.21544580709314,591.0,2.0
25586,6.89,1533.0,0.2043,8.5,22.3,830.5649623727313,3.4
25587,13.79,3673.0,0.0901,8.589305208096429,15.2,2134.0,2.2
25588,13.79,3070.4877791356516,-0.3469,7.7,7.7,457.0,3.9
25589,13.79,4073.0,0.0627,9.5,9.5,1836.0,2.6
25591,6.89,3811.0,-0.0257,8.589305208096429,10.3,762.0,4.4
25592,13.79,1953.0,0.0295,11.1,11.1,457.0,2.1
25595,13.79,1356.0,-0.1356,7.7,7.7,457.0,3.6
25596,10.635065510058652,5696.0,-0.0297,10.3,14.21544580709314,762.0,4.8
25597,6.93,4066.0,0.1628,10.8,10.8,1727.0,2.5
25598,6.84,4055.0,0.0423,8.589305208096429,10.8,864.0,3.4
25599,10.635065510058652,3513.0,0.1388,4.6,4.6,830.5649623727313,7.3
25600,6.83,4042.0,0.0003,8.589305208096429,10.8,830.5649623727313,4.0
25601,6.79,1899.0,0.0108,10.8,14.21544580709314,830.5649623727313,3.3
25602,6.89,3070.4877791356516,0.0063,12.7,38.1,737.0,3.6
25606,3.86,3070.4877791356516,0.0423,10.8,10.8,432.0,4.4
25607,15.51,3721.0,0.0126,5.6,15.2,2134.0,2.5
25610,10.635065510058652,2034.0,0.1113,10.8,10.8,432.0,5.4
25611,13.79,678.0,-0.0158,7.7,7.7,457.0,4.0
25612,10.635065510058652,6971.0,-0.0203,10.3,10.3,794.0,6.8
25615,4.13,1519.0,-0.0434,12.7,42.3,1778.0,5.0
25616,13.79,673.0,-0.0925,11.1,11.1,457.0,3.2
25619,13.79,3070.4877791356516,-0.0431,4.7,4.7,318.0,6.0
25620,1.01,2000.0,-0.0417,15.0,120.0,830.5649623727313,7.1
25621,9.68,5615.0,0.0655,6.4,15.9,914.0,2.0
25622,18.96,2875.0,-0.1334,1.9,1.9,152.0,3.9
25623,6.93,4014.0,-0.135,8.589305208096429,10.8,216.0,7.7
25624,18.96,4096.0,-0.3201,8.589305208096429,1.9,152.0,5.9
25625,12.0,3070.4877791356516,0.0323,10.0,10.0,830.5649623727313,3.2
25630,13.79,3070.4877791356516,-0.1335,8.589305208096429,14.21544580709314,830.5649623727313,3.9
25632,13.79,1505.0,0.0803,8.589305208096429,7.8,591.0,3.9
25633,4.16,3070.4877791356516,0.1383,10.8,10.8,432.0,8.0
25634,13.79,1980.0,-0.0389,7.7,7.7,457.0,3.6
25636,6.89,3797.0,-0.0134,23.6,14.21544580709314,610.0,4.5
25639,18.27,3070.4877791356516,-0.1284,8.589305208096429,3.0,830.5649623727313,1.8
25640,13.79,2061.0,0.0406,7.8,7.8,591.0,2.0
25641,10.635065510058652,2679.0,0.1575,9.5,9.5,1836.0,1.8
25642,13.79,4787.0,-0.0412,4.7,4.7,830.5649623727313,7.7
25643,13.79,2116.0,0.0829,7.8,7.8,591.0,2.4
25644,13.79,3608.0,0.1225,4.7,4.7,318.0,2.6
25646,13.79,4055.0,0.129,8.589305208096429,14.21544580709314,318.0,1.7
25647,13.79,3070.4877791356516,-0.1241,8.589305208096429,4.7,318.0,3.9
25648,13.79,932.0,-0.0158,7.7,7.7,457.0,4.1
25651,13.79,1383.0,0.0406,7.8,7.8,591.0,2.0
25652,18.0,750.0,-0.0465,8.589305208096429,10.0,1650.0,2.2
25653,18.27,3070.4877791356516,-0.0198,3.0,3.0,150.0,4.1
25655,6.89,2699.0,0.0146,8.589305208096429,23.6,1972.0,2.5
25656,13.79,2710.0,-0.0185,5.6,14.21544580709314,2134.0,4.6
25657,6.89,3070.4877791356516,-0.0322,10.3,10.3,830.5649623727313,4.8
25659,13.79,1899.0,0.0214,7.8,7.8,591.0,2.6
25662,13.79,3070.4877791356516,0.0042,11.1,11.1,457.0,2.0
25666,3.9,7405.0,0.1383,10.8,10.8,864.0,2.2
25669,13.79,2767.0,0.1225,7.8,7.8,591.0,2.2
25670,6.89,3070.4877791356516,-0.0158,23.6,14.21544580709314,610.0,5.0
25673,11.03,2731.0,0.1031,5.0,14.21544580709314,2134.0,1.7
25675,13.79,3070.4877791356516,0.0226,7.7,7.7,457.0,2.9
25676,6.79,4069.0,0.0196,10.8,10.8,864.0,2.4
25677,0.1,734.0,-0.0415,15.0,120.0,10.0,4.2
25678,13.79,956.0,-0.1303,3.0,3.0,830.5649623727313,1.5
25679,10.34,5832.0,-0.1218,10.3,10.3,762.0,6.7
25681,11.03,2693.0,-0.027,5.6,15.2,2134.0,2.1
25682,10.635065510058652,2698.0,0.1583,9.5,14.21544580709314,1836.0,1.9
25684,10.38,2631.0,-0.1392,8.589305208096429,4.6,229.0,3.2
25685,11.0,4123.0,0.0475,11.5,11.5,830.5649623727313,4.4
25686,6.89,673.0,-0.1208,23.6,14.21544580709314,610.0,6.7
25688,10.635065510058652,3784.0,-0.3732,1.9,1.9,696.0,2.9
25691,13.79,2007.0,0.0808,7.7,7.7,457.0,2.3
25693,18.96,3458.0,-0.0664,1.9,1.9,696.0,2.5
25694,13.79,3070.4877791356516,0.0027,7.7,7.7,457.0,2.8
25695,13.79,2373.0,0.0902,7.8,7.8,591.0,1.0
25696,12.0,4028.0,0.1219,8.589305208096429,10.0,1650.0,1.5
25699,3.45,7554.0,-0.0522,10.3,14.21544580709314,762.0,5.4
25700,3.93,1858.0,0.0809,10.8,10.8,830.5649623727313,3.9
25701,13.79,3933.0,0.0415,4.6,4.6,295.0,3.9
25704,13.79,3070.4877791356516,0.0783,4.7,4.7,318.0,2.3
25706,10.635065510058652,5615.0,-0.0801,12.7,38.1,914.0,7.2
25707,3.86,4123.0,0.0302,8.589305208096429,14.21544580709314,432.0,5.5
25708,13.79,2265.0,0.033,7.8,7.8,591.0,5.3
25709,6.79,2034.0,0.1383,8.589305208096429,10.8,830.5649623727313,1.7
25710,6.89,2807.0,0.0537,6.4,14.21544580709314,914.0,3.5
25711,13.79,2550.0,0.0628,4.7,4.7,830.5649623727313,2.7
25712,10.34,3070.4877791356516,-0.1171,10.3,10.3,762.0,4.8
25713,4.13,2278.0,0.0724,12.7,42.3,1778.0,2.5
25714,9.61,1519.0,0.0948,8.589305208096429,42.3,1778.0,3.9
25715,15.51,3674.0,-0.0135,5.6,14.21544580709314,2134.0,2.6
25718,10.635065510058652,2590.0,-0.0518,1.9,1.9,152.0,4.4
25719,15.51,3811.0,-0.0039,1.9,1.9,830.5649623727313,3.2
25722,13.79,1336.0,-0.3176,11.1,11.1,457.0,2.1
25723,13.79,5262.0,-0.0218,8.589305208096429,5.7,625.0,5.0
25724,13.79,1695.0,-0.0276,7.7,7.7,457.0,4.5
25725,15.51,1355.0,-0.0394,5.6,15.2,830.5649623727313,1.1
25726,13.79,2590.0,0.0027,7.7,7.7,457.0,2.4
25727,13.79,3665.0,0.1378,5.6,15.2,2134.0,1.2
25728,6.92,2767.0,0.0275,12.7,14.21544580709314,914.0,3.2
25733,13.79,7012.0,-0.0779,4.7,14.21544580709314,318.0,2.8
25734,13.79,842.0,0.0043,4.7,4.7,318.0,4.2
25735,10.635065510058652,1500.0,-0.025,8.589305208096429,120.0,10.0,3.5
25736,18.0,750.0,-0.1332,10.0,10.0,1650.0,3.2
25738,13.79,3070.4877791356516,0.0787,8.589305208096429,1.9,152.0,2.6
25740,13.79,1113.0,0.0847,7.8,7.8,591.0,2.3
25741,0.1,882.0,-0.0466,15.0,120.0,10.0,4.7
25743,12.07,3743.0,-0.0547,1.9,1.9,152.0,9.2
25744,2.63,3070.4877791356516,-0.0801,8.589305208096429,3.0,150.0,5.8
25748,8.27,340.0,0.0426,9.5,9.5,1836.0,1.9
25749,13.79,2740.0,0.1162,5.6,15.2,2134.0,1.5
25750,13.79,2759.0,0.0886,9.5,9.5,1836.0,1.9
25753,6.89,2278.0,0.1212,8.5,22.3,2743.0,2.1
25754,13.79,5398.0,-0.1249,4.7,4.7,318.0,3.7
25755,13.79,1668.0,-0.068,7.7,14.21544580709314,457.0,3.6
25757,3.83,3070.4877791356516,0.0449,5.6,5.6,216.0,5.3
25759,13.79,3070.4877791356516,-0.1339,5.7,5.7,625.0,4.7
25761,10.635065510058652,6049.0,-0.0331,10.3,10.3,762.0,6.8
25762,6.89,5588.0,0.064,12.7,38.1,830.5649623727313,3.7
25763,6.89,3987.0,-0.0953,10.3,10.3,762.0,5.6
25764,15.51,1132.0,0.1891,8.589305208096429,9.5,1836.0,1.0
25768,6.92,2265.0,0.1498,8.5,22.3,2743.0,2.0
25769,6.89,4069.0,0.1936,8.589305208096429,5.6,432.0,2.6
25770,13.79,1390.0,0.1275,9.5,9.5,1836.0,1.3
25773,10.34,7378.0,-0.1209,10.3,10.3,762.0,6.7
25774,17.24,2428.0,-0.074,1.9,1.9,152.0,4.3
25775,0.1,1356.0,-0.0187,15.0,14.21544580709314,10.0,5.1
25777,3.83,3974.0,0.0335,10.8,10.8,864.0,3.8
25778,13.79,3070.4877791356516,-0.0532,4.7,4.7,318.0,3.7
25779,15.51,1249.0,0.0073,5.6,15.2,2134.0,1.8
25780,6.79,4014.0,0.0129,10.8,14.21544580709314,216.0,2.7
25781,13.79,1356.0,0.0948,7.7,14.21544580709314,457.0,1.8
25782,6.89,7269.0,-0.0259,10.3,14.21544580709314,762.0,4.0
25785,10.635065510058652,2767.0,-0.0349,4.7,4.7,305.0,3.6
25786,15.51,2997.0,-0.0015,1.9,14.21544580709314,830.5649623727313,3.9
25787,6.89,4014.0,0.0005,10.8,14.21544580709314,216.0,4.4
25788,13.79,1316.0,-0.0408,5.7,5.7,625.0,7.3
25790,13.79,1885.0,0.0225,7.8,7.8,830.5649623727313,3.3
25792,10.635065510058652,3070.4877791356516,0.0328,10.0,14.21544580709314,1300.0,2.6
25793,15.17,2061.0,0.1464,10.5,10.5,1836.0,4.6
25795,15.51,1345.0,-0.1005,5.6,14.21544580709314,2134.0,2.2
25796,6.89,5547.0,0.0062,10.3,14.21544580709314,762.0,5.9
25798,11.03,3665.0,-0.0943,5.6,15.2,2134.0,2.1
25801,10.45,1288.0,0.0713,4.6,4.6,229.0,2.5
25802,13.79,2197.0,0.0789,7.8,7.8,591.0,2.8
25803,13.79,4164.0,-0.1209,4.7,4.7,318.0,3.0
25805,10.635065510058652,3757.0,-0.022,10.3,10.3,830.5649623727313,4.8
